/sda/home/temp/weiwenfei/SAFE-SupContrast-patchwise94acc/results/SAFE/20250509_204548/checkpoint-8.pth model testing on...
testset,overall accuracy,avg precision,class 0 accuracy,class 1 accuracy
ADM,90.575,98.9846123623161,99.1,82.05
DALLE2,98.55000000000001,99.95992675045532,99.8,97.3
Glide,96.43333333333334,99.52270898157505,99.21666666666667,93.65
Midjourney,94.51666666666667,99.32458621350268,98.98333333333333,90.05
VQDM,97.71666666666667,99.61081576664877,99.15,96.28333333333333
biggan,90.9,96.29262031556495,93.0,88.8
cyclegan,99.35654806964422,99.86039925479713,98.7887963663891,99.92429977289932
gaugan,91.02,98.20404426552581,82.46,99.58
progan,100.0,100.0,100.0,100.0
stable_diffusion_v_1_4,99.30833333333334,99.97726051397196,98.91666666666666,99.7
stable_diffusion_v_1_5,99.21875,99.9079331266425,98.7625,99.675
stargan,100.0,100.0,100.0,100.0
stylegan,99.76631614087799,99.9992881699778,100.0,99.53263228175598
stylegan2,99.89359038557836,99.99931978832042,99.98748122183275,99.79969954932399
whichfaceisreal,62.0,81.2832664205082,98.0,26.0
wukong,98.80833333333334,99.88958837607663,98.9,98.71666666666667
mean,94.87897112058961,98.30102314411769,97.81659026593053,91.94135197524871
